id,category,name,image_file,source_post,description,base_stats,upgrades,special_notes
firestorm_cannon,Firestorm,Firestorm Cannon,firestorm_cannon.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521779,"Slightly less powerful than other special cannons, but faster attacks turn the spark of war into a blazing inferno.","Hit Probability: 75%; Cannon Range: 30; Critical Hit Probability: 20%; Critical Damage: 20%","Level 0: 6.0 Reload Time, +15 Elite Ammunition Bonus; Level 1: 5.9 Reload Time, +20 Elite Ammunition Bonus; Level 2: 5.8 Reload Time, +25 Elite Ammunition Bonus; Level 3: 5.7 Reload Time, +30 Elite Ammunition Bonus; Level 4: 5.6 Reload Time, +35 Elite Ammunition Bonus; Level 5: 5.5 Reload Time, +40 Elite Ammunition Bonus; Level 6: 5.4 Reload Time, +45 Elite Ammunition Bonus","Fastest reload time among the cannons listed in that update."
doomhammer_cannon,Doomhammer,Doomhammer Cannon,doomhammer_cannon.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521780,"The mighty Doomhammer's barrage delivers a hefty blow and announces whose doom it tolls.","Hit Probability: 75%; Cannon Range: 30; Critical Hit Probability: 20%; Critical Damage: 20%","Level 0: 8.7 Reload Time, +75 Elite Ammunition Bonus; Level 1: 8.6 Reload Time, +90 Elite Ammunition Bonus; Level 2: 8.5 Reload Time, +105 Elite Ammunition Bonus; Level 3: 8.4 Reload Time, +120 Elite Ammunition Bonus; Level 4: 8.3 Reload Time, +135 Elite Ammunition Bonus; Level 5: 8.2 Reload Time, +150 Elite Ammunition Bonus; Level 6: 8.1 Reload Time, +165 Elite Ammunition Bonus","Most powerful cannon in the game according to the thread, but also the slowest reload among that set."
devastator_cannon,Devastator,Devastator Cannon,devastator_cannon.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521781,"The seas shake with the roar of the Devastator. It has a higher chance to score critical hits and deal more critical damage.","Hit Probability: 75%; Cannon Range: 30; Reload Time: 8 Seconds","Level 0: 25% Critical Hit Probability, 50% Critical Damage, +75 Elite Ammunition Bonus; Level 1: 27% Critical Hit Probability, 62% Critical Damage, +80 Elite Ammunition Bonus; Level 2: 29% Critical Hit Probability, 74% Critical Damage, +85 Elite Ammunition Bonus; Level 3: 31% Critical Hit Probability, 86% Critical Damage, +90 Elite Ammunition Bonus; Level 4: 33% Critical Hit Probability, 98% Critical Damage, +95 Elite Ammunition Bonus; Level 5: 35% Critical Hit Probability, 110% Critical Damage, +100 Elite Ammunition Bonus; Level 6: 37% Critical Hit Probability, 122% Critical Damage, +105 Elite Ammunition Bonus","Can be upgraded to Level 6."
painbringer_cannon,Painbringer,Painbringer Cannon,painbringer_cannon.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-524336,"A hybrid of the Doomhammer and Firestorm that inflicts tremendous damage with pearl ammunition.","Hit Probability: 75%; Cannon Range: 30; Critical Hit Probability: 20%; Critical Damage: 20%","Level 0: 7.0 Reload Time, +50 Elite Ammunition Bonus, +50% Elite Ammunition Bonus Percentage; Level 1: 6.9 Reload Time, +60 Elite Ammunition Bonus, +60% Elite Ammunition Bonus Percentage; Level 2: 6.8 Reload Time, +70 Elite Ammunition Bonus, +70% Elite Ammunition Bonus Percentage; Level 3: 6.7 Reload Time, +80 Elite Ammunition Bonus, +80% Elite Ammunition Bonus Percentage; Level 4: 6.6 Reload Time, +90 Elite Ammunition Bonus, +90% Elite Ammunition Bonus Percentage; Level 5: 6.5 Reload Time, +100 Elite Ammunition Bonus, +100% Elite Ammunition Bonus Percentage; Level 6: 6.4 Reload Time, +110 Elite Ammunition Bonus, +110% Elite Ammunition Bonus Percentage","Elite Ammunition bonus values are per cannon and depend on how many Painbringers are equipped. The percentage bonus applies to all equipped cannons and other items that provide Elite Ammunition Bonus."
rift_cannon,Rift,Rift Cannon,rift_cannon.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-537706,"Unleash the power of the Greater Rift and make enemies tremble.","Reload Time: 6.5 Seconds; Cannon Range: 30; Critical Hit Probability: 20%; Critical Damage: 20%; Hit Probability: 80%; Elite Ammunition Bonus: +5","Level 0: 6.5 Reload Time, 20% Critical Damage, +5 Elite Ammunition Bonus, 80% Hit Probability; Level 1: 6.5 Reload Time, 20% Critical Damage, +10 Elite Ammunition Bonus, 81% Hit Probability; Level 2: 6.5 Reload Time, 20% Critical Damage, +15 Elite Ammunition Bonus, 82% Hit Probability; Level 3: 6.5 Reload Time, 20% Critical Damage, +20 Elite Ammunition Bonus, 83% Hit Probability; Level 4: 6.5 Reload Time, 20% Critical Damage, +25 Elite Ammunition Bonus, 84% Hit Probability; Level 5: 6.5 Reload Time, 20% Critical Damage, +30 Elite Ammunition Bonus, 85% Hit Probability; Level 6: 6.5 Reload Time, 20% Critical Damage, +35 Elite Ammunition Bonus, 86% Hit Probability","Can be upgraded while keeping the same reload time."
worldbreaker_cannon,Worldbreaker,Worldbreaker Cannon,worldbreaker_cannon.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-540827,"Formerly known as prototype SK-L/45, this cannon earned its reputation by destroying every training target in one test.","Cannon Range: 30; Hit Probability: 75%; Critical Hit Probability: 20%; Elite Ammunition Bonus Percentage: 70%","Level 0: 6.9 Reload Time, 20% Critical Damage, +100 Elite Ammunition Bonus; Level 1: 6.8 Reload Time, 25% Critical Damage, +110 Elite Ammunition Bonus; Level 2: 6.7 Reload Time, 30% Critical Damage, +120 Elite Ammunition Bonus; Level 3: 6.6 Reload Time, 35% Critical Damage, +130 Elite Ammunition Bonus; Level 4: 6.5 Reload Time, 40% Critical Damage, +140 Elite Ammunition Bonus; Level 5: 6.4 Reload Time, 45% Critical Damage, +150 Elite Ammunition Bonus; Level 6: 6.3 Reload Time, 50% Critical Damage, +160 Elite Ammunition Bonus","Can be upgraded to Level 6."
bastion_cannon,Bastion,Bastion Cannon,bastion_cannon.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-555945,"Sometimes the best offense is a good defense. Bastion heats up from ammo usage and can become a deployable sentinel.","Cannon Range: 30; Hit Probability: 75%; Elite Ammunition Bonus: 70%","Level 0: 6.5 Reload Time, 20% Critical Hit Probability, 22% Critical Damage, +125 Elite Ammunition Bonus; Level 1: 6.4 Reload Time, 20.5% Critical Hit Probability, 25% Critical Damage, +135 Elite Ammunition Bonus; Level 2: 6.3 Reload Time, 21% Critical Hit Probability, 28% Critical Damage, +145 Elite Ammunition Bonus; Level 3: 6.2 Reload Time, 21.5% Critical Hit Probability, 31% Critical Damage, +155 Elite Ammunition Bonus; Level 4: 6.1 Reload Time, 22% Critical Hit Probability, 34% Critical Damage, +165 Elite Ammunition Bonus; Level 5: 6.0 Reload Time, 22.5% Critical Hit Probability, 37% Critical Damage, +175 Elite Ammunition Bonus; Level 6: 5.9 Reload Time, 23% Critical Hit Probability, 40% Critical Damage, +185 Elite Ammunition Bonus","Using elite ammunition charges Sentinel Points, with Skull ammo charging faster. At 100% charge you can place one Sentinel with 500,000 HP for about 2.5 minutes. While you stay in its zone it can echo your attacks using your ammunition. The Sentinel disappears on map leave/logout and can be destroyed by other players."
overlord_cannon,Overlord,Overlord Cannon,overlord_cannon.png,https://board-en.seafight.com/threads/cannons.1822/#post-568377,"Open fire with elite ammo and the Overlord cannon heats up until it can grant you and your group powerful buffs.","Cannon Range: 30; Hit Probability: 75%; Elite Ammunition Bonus: 70%","Level 0: 5.6 Reload Time, 20% Critical Hit Probability, 26% Critical Damage, +140 Elite Ammunition Bonus; Level 1: 5.55 Reload Time, 21% Critical Hit Probability, 30% Critical Damage, +150 Elite Ammunition Bonus; Level 2: 5.5 Reload Time, 22% Critical Hit Probability, 34% Critical Damage, +160 Elite Ammunition Bonus; Level 3: 5.45 Reload Time, 23% Critical Hit Probability, 38% Critical Damage, +170 Elite Ammunition Bonus, Elite Points Multiplier 2.2; Level 4: 5.4 Reload Time, 24% Critical Hit Probability, 42% Critical Damage, +180 Elite Ammunition Bonus, Elite Points Multiplier 2.2; Level 5: 5.35 Reload Time, 26% Critical Hit Probability, 46% Critical Damage, +190 Elite Ammunition Bonus, Elite Points Multiplier 2.2; Level 6: 5.3 Reload Time, 27% Critical Hit Probability, 50% Critical Damage, +200 Elite Ammunition Bonus, Elite Points Multiplier 2.2, Battlepoint Bonus 10%","Elite ammo charges Overlord Points faster when more Overlord cannons are equipped. At 100% charge you can activate Overlord's Might for yourself and Overlord's Blessing for grouped allies. Might grants 5% Damage vs Players and 15% Rocket Damage, plus 3% Damage Prevention when combined with Bastion's Sentinel. Blessing grants 10% Repair Cannon Efficiency, 2% Negative Effect Prevention, and 10% PvP Area Dodge; its duration stacks up to four times."
thunderbolt_cannon,Thunderbolt,Thunderbolt Cannon,thunderbolt_cannon.png,https://board-en.seafight.com/threads/cannons.1822/#post-578453,"Make your enemies tremble as the Thunderbolt Cannon reaches even further to strike their vessels.","Cannon Range: 31; Hit Probability: 75%; Elite Ammunition Bonus: 70%","Level 0: 5.5 Reload Time, 25% Critical Hit Probability, 39% Critical Damage, +200 Elite Ammunition Bonus, 31 Cannon Range, 70% Elite Ammunition Bonus Percentage; Level 1: 5.4 Reload Time, 26% Critical Hit Probability, 41% Critical Damage, +208 Elite Ammunition Bonus, 31.5 Cannon Range, 72.5% Elite Ammunition Bonus Percentage, Elite Points 1.25; Level 2: 5.3 Reload Time, 27% Critical Hit Probability, 43% Critical Damage, +216 Elite Ammunition Bonus, 32 Cannon Range, 75% Elite Ammunition Bonus Percentage, Elite Points 1.5; Level 3: 5.2 Reload Time, 28% Critical Hit Probability, 45% Critical Damage, +224 Elite Ammunition Bonus, 32.5 Cannon Range, 77.5% Elite Ammunition Bonus Percentage, Elite Points 1.75; Level 4: 5.1 Reload Time, 29% Critical Hit Probability, 47% Critical Damage, +232 Elite Ammunition Bonus, 33 Cannon Range, 80% Elite Ammunition Bonus Percentage, Elite Points 2.0, 5% Battle Points Bonus; Level 5: 5.0 Reload Time, 30% Critical Hit Probability, 49% Critical Damage, +240 Elite Ammunition Bonus, 33.5 Cannon Range, 82.5% Elite Ammunition Bonus Percentage, Elite Points 2.25, 10% Battle Points Bonus; Level 6: 4.9 Reload Time, 31% Critical Hit Probability, 51% Critical Damage, +248 Elite Ammunition Bonus, 34 Cannon Range, 85% Elite Ammunition Bonus Percentage, Elite Points 2.5, 15% Battle Points Bonus","Can be upgraded to Level 6."
repair_cannon_level_3,Repair,Repair Cannon Level 3,repair_cannon_level_3.png,https://board-en.seafight.com/threads/cannons.1822/#post-587040,"This repair cannon reloads more quickly, hits targets more precisely and fires further than ever expected.","Reload Time: 6.5s; Hit Probability: 77%; Range: 27; Elite Points: 1.1 per cannon; Maximum Voodoo Points Healing Value: 15 per cannon; EXP from Healing: 0.0125% per cannon; Repair Cannon Voodoo Points Healing Efficiency: 0.0025% per cannon","","Requires Level 2 Repair Ammunition."
repair_cannon_level_4,Repair,Repair Cannon Level 4,repair_cannon_level_4.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-590741,"This repair cannon reloads more quickly, hits targets more precisely and fires further than ever expected.","Reload Time: 6.0s; Hit Probability: 79%; Range: 29; Elite Points: 1.2 per cannon; Maximum Voodoo Points Healing Value: 20 per cannon; EXP from Healing: 0.025% per cannon; Repair Cannon Voodoo Points Healing Efficiency: 0.005% per cannon","","Requires Level 2 Repair Ammunition."
repair_cannon_level_5,Repair,Repair Cannon Level 5,repair_cannon_level_5.png,https://board-en.seafight.com/threads/cannons.1822/#post-597621,"This repair cannon reloads more quickly, hits targets more precisely and fires further than ever expected.","Reload Time: 5.5s; Hit Probability: 81%; Range: 31; Elite Points: 1.3 per cannon; Maximum Voodoo Points Healing Value: 25 per cannon; EXP from Healing: 0.04% per cannon; Repair Cannon Voodoo Points Healing Efficiency: 0.01% per cannon","","Requires Level 2 Repair Ammunition."
lava_cannon,Lava,Lava Cannon,lava_cannon.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-598475,"Make your enemies hot, bothered, and dead with scorching lava cannons.","Cannon Range: 30; Reload Time: 5.6 Seconds; Hit Probability: 100%; Critical Hit Probability: 25%; Critical Fire Damage: 10%","Level 0: 5.6 Reload Time, 25% Critical Hit Probability, 30 Cannon Range, 10% Critical Fire Damage, 100% Hit Probability; Level 1: 5.5 Reload Time, 26% Critical Hit Probability, 30.5 Cannon Range, 12% Critical Fire Damage, 100% Hit Probability, 2 Fire Damage, 15% Fire Damage; Level 2: 5.4 Reload Time, 27% Critical Hit Probability, 31 Cannon Range, 14% Critical Fire Damage, 100% Hit Probability, 4 Fire Damage, 30% Fire Damage","Usable only within the ROK Region according to the thread."
